date,open,high,low,close,volume,oi,index,,
2024-11-19 09:15:00+05:30,222.9,228.05,160.8,160.8,497575,869550,2,,0
2024-11-19 09:18:00+05:30,160.8,174.5,156.65,162.05,505575,1109925,3,,1
2024-11-19 09:21:00+05:30,162.05,168.2,149.8,152.4,528200,1261375,4,,2
2024-11-19 09:24:00+05:30,152.2,152.2,133.05,143.7,939525,1398675,5,,3
2024-11-19 09:27:00+05:30,143.8,145,123.2,124,1088125,1605175,6,,4
2024-11-19 09:30:00+05:30,123.8,137.45,120.05,125.5,1644225,1969625,7,,5
2024-11-19 09:33:00+05:30,125.5,135.75,111.5,116.1,1543325,2145825,8,,6
2024-11-19 09:36:00+05:30,116.1,124.95,106,110.9,1859825,2382025,9,,7
2024-11-19 09:39:00+05:30,111.45,117.3,108.75,114.65,1308800,2839675,10,,8
2024-11-19 09:42:00+05:30,115.2,118.1,98.3,98.3,1780200,3121350,11,,9
2024-11-19 09:45:00+05:30,99.15,104.35,95.3,101.95,2319425,3538150,12,,10
2024-11-19 09:48:00+05:30,101.95,122.4,101.95,119.9,3370050,3882200,13,,11
2024-11-19 09:51:00+05:30,120.7,130.6,111.15,112.05,3041050,4082150,14,,12
2024-11-19 09:54:00+05:30,113.25,117.7,95.25,110.7,2619525,3960150,15,,13
2024-11-19 09:57:00+05:30,111.45,114.9,106.85,108.65,944975,4168925,16,,14
2024-11-19 10:00:00+05:30,108.65,108.65,98.5,104.5,1505950,4236525,17,,15
2024-11-19 10:03:00+05:30,104.5,106.95,96.7,100.95,1545500,4532050,18,,16
2024-11-19 10:06:00+05:30,100.95,106.9,98.7,103.2,842700,4626125,19,,17
2024-11-19 10:09:00+05:30,103.2,104.3,91.1,98.4,1758350,4652350,20,,18
2024-11-19 10:12:00+05:30,98.45,104.8,97,104.35,1354375,4841025,21,,19
2024-11-19 10:15:00+05:30,104.55,108.8,99.05,100.55,1752900,5145750,22,,20
2024-11-19 10:18:00+05:30,100.2,104.8,95.6,98.85,1326300,5322400,23,,21
2024-11-19 10:21:00+05:30,99.3,101.9,92.65,92.85,1230800,5541125,24,,22
2024-11-19 10:24:00+05:30,92.8,94.15,77.75,80.8,3344650,5602250,25,,23
2024-11-19 10:27:00+05:30,80.1,82.8,77.25,78.05,1797325,5762450,26,,24
2024-11-19 10:30:00+05:30,78.05,83.2,73.95,81.95,2174900,5986875,27,,25
2024-11-19 10:33:00+05:30,82.2,85.6,80.7,81.6,1540975,6073850,28,,26
2024-11-19 10:36:00+05:30,81.6,84.4,78.2,81.75,1404500,6185200,29,,27
2024-11-19 10:39:00+05:30,81.75,83.35,76.65,80.35,1000275,6150325,30,,28
2024-11-19 10:42:00+05:30,80.35,91.6,80.35,88.5,2217775,6170525,31,,29
2024-11-19 10:45:00+05:30,88.6,95.1,86.25,91.45,2019225,6163100,32,,30
2024-11-19 10:48:00+05:30,91.4,100.85,90.35,100.4,2887650,6249925,33,,31
2024-11-19 10:51:00+05:30,100.4,103,93,100.4,2388525,6070700,34,,32
2024-11-19 10:54:00+05:30,100.3,101.5,85.6,93.65,2279725,6091150,35,,33
2024-11-19 10:57:00+05:30,93.65,96.95,88.2,89.8,1136000,6021750,36,,34
2024-11-19 11:00:00+05:30,89.6,89.6,81,87.7,1558000,5983650,37,,35
2024-11-19 11:03:00+05:30,87.65,89.1,80.45,81.7,1281000,6032500,38,,36
2024-11-19 11:06:00+05:30,81.7,82.3,77.7,78.7,1186250,6271450,39,,37
2024-11-19 11:09:00+05:30,78.7,80.9,76.8,79.85,989075,6338975,40,,38
2024-11-19 11:12:00+05:30,79.85,82.15,77.75,78.45,1002975,6375150,41,,39
2024-11-19 11:15:00+05:30,78.5,81.55,78.05,80.7,892275,6516775,42,,40
2024-11-19 11:18:00+05:30,80.55,80.9,74.55,77.75,1626550,6626100,43,,41
2024-11-19 11:21:00+05:30,78.15,79.85,74.05,74.7,991100,6750100,44,,42
2024-11-19 11:24:00+05:30,74.85,75,65.05,65.8,2461000,6751425,45,,43
2024-11-19 11:27:00+05:30,65.9,70.5,64.5,68.6,1424775,6924575,46,,44
2024-11-19 11:30:00+05:30,68.6,69.5,64.95,66.4,1072900,7083275,47,,45
2024-11-19 11:33:00+05:30,66.4,68.65,62.5,68.35,1324475,7047075,48,,46
2024-11-19 11:36:00+05:30,68.35,68.35,63.5,64.15,817575,7095400,49,,47
2024-11-19 11:39:00+05:30,63.95,65.25,61.05,64.8,1130200,7286550,50,,48
2024-11-19 11:42:00+05:30,64.6,65.5,62.95,64.05,629200,7331075,51,,49
2024-11-19 11:45:00+05:30,64.05,66.35,63.1,64.15,769125,7349325,52,,50
2024-11-19 11:48:00+05:30,64.35,65.6,58.85,65.45,1411250,7377300,53,,51
2024-11-19 11:51:00+05:30,65.45,65.65,62.1,63.65,665050,7406450,54,,52
2024-11-19 11:54:00+05:30,63.65,67.85,63,66.55,947575,7398875,55,,53
2024-11-19 11:57:00+05:30,66.55,69.25,65.65,68.15,1127675,7341575,56,,54
2024-11-19 12:00:00+05:30,68.15,69.6,64.1,65.95,966550,7312300,57,,55
2024-11-19 12:03:00+05:30,65.45,67.65,62.6,63.35,739825,7240625,58,,56
2024-11-19 12:06:00+05:30,63.35,72.85,62.9,71.7,1776375,7200350,59,,57
2024-11-19 12:09:00+05:30,72.25,75.3,70.9,71.65,1809625,7176475,60,,58
2024-11-19 12:12:00+05:30,71.6,73.1,66.25,66.95,1139050,7140500,61,,59
2024-11-19 12:15:00+05:30,66.75,67.95,63.1,63.8,919250,7115475,62,,60
2024-11-19 12:18:00+05:30,63.8,64.65,60.1,63.1,985800,7089475,63,,61
2024-11-19 12:21:00+05:30,63.1,65.6,62.6,65.1,551525,7141650,64,,62
2024-11-19 12:24:00+05:30,65.1,70.75,64.1,70.05,1071125,7141500,65,,63
2024-11-19 12:27:00+05:30,70.05,71.45,68.05,70.1,952950,7122825,66,,64
2024-11-19 12:30:00+05:30,69.9,72.35,65.55,67.55,1052650,7146100,67,,65
2024-11-19 12:33:00+05:30,67,70.5,66.5,69.1,669600,7094700,68,,66
2024-11-19 12:36:00+05:30,69.1,69.35,65.6,68.1,516075,7123500,69,,67
2024-11-19 12:39:00+05:30,68.35,71.85,66.05,70.5,738375,7106500,70,,68
2024-11-19 12:42:00+05:30,70.75,78.45,69.15,77.75,2027350,7013250,71,,69
2024-11-19 12:45:00+05:30,77.75,81.85,74.35,75,2804800,6988225,72,,70
2024-11-19 12:48:00+05:30,75,75.7,67.2,70,1826400,6954100,73,,71
2024-11-19 12:51:00+05:30,69.9,72.35,66.85,71.05,1253150,6940725,74,,72
2024-11-19 12:54:00+05:30,71,73.1,68.55,70.3,785050,6958600,75,,73
2024-11-19 12:57:00+05:30,70.35,70.5,67.45,67.9,703375,6954700,76,,74
2024-11-19 13:00:00+05:30,67.9,68.5,63.2,63.8,1130725,6884650,77,,75
2024-11-19 13:03:00+05:30,63.8,67.8,63.75,66.5,661900,6934125,78,,76
2024-11-19 13:06:00+05:30,66.4,67.45,63.4,65,496800,6913200,79,,77
2024-11-19 13:09:00+05:30,65,65.9,60.95,65.25,686900,6988375,80,,78
2024-11-19 13:12:00+05:30,65.25,65.3,62.3,62.3,452475,6991175,81,,79
2024-11-19 13:15:00+05:30,62.3,64.85,61.3,64.3,614950,7007600,82,,80
2024-11-19 13:18:00+05:30,64.3,64.5,62.45,63.05,362250,6948850,83,,81
2024-11-19 13:21:00+05:30,63.05,66.5,62.2,65.75,568500,6950350,84,,82
2024-11-19 13:24:00+05:30,66,73.05,65.3,70.25,1552975,6935875,85,,83
2024-11-19 13:27:00+05:30,70.1,70.85,66.65,68.9,769950,6940350,86,,84
2024-11-19 13:30:00+05:30,68.9,70.9,61.1,62.15,1321950,6935575,87,,85
2024-11-19 13:33:00+05:30,62.25,63.3,60.1,60.15,759200,7041675,88,,86
2024-11-19 13:36:00+05:30,60.4,65.85,60.35,63.25,850525,7013775,89,,87
2024-11-19 13:39:00+05:30,63.25,65.65,61.1,65.25,659350,7004450,90,,88
2024-11-19 13:42:00+05:30,65.25,67,62.5,65.75,600100,6931625,91,,89
2024-11-19 13:45:00+05:30,65.75,66.2,62.4,62.75,452050,6927600,92,,90
2024-11-19 13:48:00+05:30,62.75,66,62.05,64.2,470250,6907600,93,,91
2024-11-19 13:51:00+05:30,64.15,65.6,62.35,63.2,443750,6889250,94,,92
2024-11-19 13:54:00+05:30,63,64.45,60.3,63.2,865100,6970675,95,,93
2024-11-19 13:57:00+05:30,63.25,63.65,61.4,62.5,641600,7007150,96,,94
2024-11-19 14:00:00+05:30,62.05,69.95,62,69,1161300,7051125,97,,95
2024-11-19 14:03:00+05:30,68.85,76.4,66.4,75.55,1982900,6934400,98,,96
2024-11-19 14:06:00+05:30,75.65,93.5,74.7,87.55,4583675,6757575,99,,97
2024-11-19 14:09:00+05:30,87.15,100.65,81.45,97.7,5328100,6455925,100,,98
2024-11-19 14:12:00+05:30,97.7,100.4,88,97.55,4194750,6264800,101,,99
2024-11-19 14:15:00+05:30,96.9,99.8,88.9,90.85,2785125,6159175,102,,100
2024-11-19 14:18:00+05:30,90.7,91.55,77.75,88.45,3226950,6239900,103,,101
2024-11-19 14:21:00+05:30,88.45,94.25,86.75,92.1,2426950,6251775,104,,102
2024-11-19 14:24:00+05:30,92.3,97.35,89.3,95.2,1850850,6352950,105,,103
2024-11-19 14:27:00+05:30,95.2,108.7,94.7,101.15,4255600,6172350,106,,104
2024-11-19 14:30:00+05:30,100.85,105.4,88.65,97,3195250,6170150,107,,105
2024-11-19 14:33:00+05:30,97,105.15,96.4,100.55,2332825,6127100,108,,106
2024-11-19 14:36:00+05:30,100.55,105.2,93.9,98.9,2181725,6094250,109,,107
2024-11-19 14:39:00+05:30,98.65,101,95,100,1328275,6122300,110,,108
2024-11-19 14:42:00+05:30,100,105.6,97.9,100.7,2386875,6089175,111,,109
2024-11-19 14:45:00+05:30,101.2,102.9,85.65,101.5,3472875,6015750,112,,110
2024-11-19 14:48:00+05:30,102,118.85,100.1,116.2,3508350,5944700,113,,111
2024-11-19 14:51:00+05:30,116.35,139.75,115.85,134.65,5559675,5254675,114,,112
2024-11-19 14:54:00+05:30,134.65,165.35,133.1,155.25,4745875,4683150,115,,113
2024-11-19 14:57:00+05:30,155.15,201,149.7,194.4,3435525,4044675,116,,114
2024-11-19 15:00:00+05:30,195.1,238,194.25,234.2,2322800,3463025,117,,115
2024-11-19 15:03:00+05:30,236.85,265.15,211.7,224.95,1818875,3043050,118,,116
2024-11-19 15:06:00+05:30,221.65,234,196.2,222,896375,2800000,119,,117
2024-11-19 15:09:00+05:30,220.4,263.35,213.45,262.55,1127575,2696875,120,,118
2024-11-19 15:12:00+05:30,261.35,282.7,253,274.1,994875,2505525,121,,119
2024-11-19 15:15:00+05:30,272.65,289.15,243.05,265.7,856850,2230125,122,,120
2024-11-19 15:18:00+05:30,265.65,272.25,243.65,259.6,446975,2084125,123,,121
2024-11-19 15:21:00+05:30,258.7,259.8,245,258.4,394675,2008575,124,,122
2024-11-19 15:24:00+05:30,257.8,261.8,251.45,259.65,318475,1881650,125,,123
2024-11-19 15:27:00+05:30,259.7,269.45,259.7,267.7,414325,1688025,126,,124